烦躁,-1.0
反唇相讥,-1.0
反感,-1.0
犯愁,-1.0
犯急,-1.0
犯难,-1.0
犯疑心病,-1.0
犯怵,-1.0
犯憷,-1.0
非常悲哀,-1.0
非难,-1.0
非议,-1.0
费精神,-1.0
费神,-1.0
忿忿,-1.0
忿忿不平,-1.0
忿忿然,-1.0
忿恨,-1.0
忿怒,-1.0
忿恚,-1.0
忿懑,-1.0
愤愤,-1.0
愤愤不平,-1.0
愤愤然,-1.0
愤恨,-1.0
愤怒,-1.0
愤世嫉俗,-1.0
愤懑,-1.0
讽,-1.0
讽刺,-1.0
付之一笑,-1.0
负疚,-1.0
负气,-1.0
肝肠寸断,-1.0
感伤,-1.0
给 ... 当头棒喝,-1.0
给 ... 一点颜色看看,-1.0
攻击,-1.0
骨鲠在喉,-1.0
顾忌,-1.0
顾虑,-1.0
顾虑重重,-1.0
顾念,-1.0
寡欢,-1.0
挂,-1.0
挂怀,-1.0
挂火,-1.0
挂记,-1.0
挂虑,-1.0
挂念,-1.0
挂牵,-1.0
挂心,-1.0
怪,-1.0
怪罪,-1.0
光火,-1.0
过不去,-1.0
过分操心,-1.0
过虑,-1.0
过意不去,-1.0
害怕,-1.0
害羞,-1.0
害臊,-1.0
骇,-1.0
骇怪,-1.0
骇惧,-1.0
骇怕,-1.0
骇然失色,-1.0
骇异,-1.0
骇愕,-1.0
含悲,-1.0
含愤,-1.0
含恨,-1.0
含怒,-1.0
含沙射影,-1.0
含羞,-1.0
含怨,-1.0
涵容,-1.0
寒,-1.0
寒心,-1.0
憾,-1.0
悍然不顾,-1.0
汗颜,-1.0
毫不在乎,-1.0
呵,-1.0
呵斥,-1.0
呵责,-1.0
呵叱,-1.0
喝斥,-1.0
喝叱,-1.0
恨,-1.0
恨入骨髓,-1.0
恨铁不成钢,-1.0
恨之入骨,-1.0
红脸,-1.0
红眼,-1.0
猴儿急,-1.0
后顾之忧,-1.0
后悔,-1.0
后悔莫及,-1.0
后怕,-1.0
忽略,-1.0
忽视,-1.0
狐疑不决,-1.0
虎着脸,-1.0
怀恨,-1.0
怀恨在心,-1.0
怀疑,-1.0
坏情,-1.0
患,-1.0
荒,-1.0
荒废,-1.0
慌恐,-1.0
皇皇,-1.0
惶,-1.0
惶惶,-1.0
惶惶不安,-1.0
惶惶不可终日,-1.0
惶惶然,-1.0
惶惑,-1.0
